Episode no = 1650; won: False; Q(s,a) = 96.89452181373211; reward = -341.0; and epsilon = 0.78, win percentage = 0.0, 2022-04-19 15:44:23
Episode no = 1660; won: False; Q(s,a) = 96.48214735894841; reward = -325.0; and epsilon = 0.7786666666666666, win percentage = 0.0, 2022-04-19 15:44:38
Episode no = 1670; won: False; Q(s,a) = 97.95271955168197; reward = -369.0; and epsilon = 0.7773333333333333, win percentage = 0.0, 2022-04-19 15:45:09
Episode no = 1680; won: False; Q(s,a) = 86.7472483514768; reward = -473.0; and epsilon = 0.776, win percentage = 0.0, 2022-04-19 15:45:26
Episode no = 1690; won: False; Q(s,a) = 84.16866649520894; reward = -461.0; and epsilon = 0.7746666666666666, win percentage = 0.0, 2022-04-19 15:45:44
Episode no = 1700; won: False; Q(s,a) = 96.0300610742377; reward = -376.0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2022-04-19 15:46:02
Episode no = 1710; won: False; Q(s,a) = 100.62609597407857; reward = -356.0; and epsilon = 0.772, win percentage = 0.0, 2022-04-19 15:46:21
Episode no = 1720; won: False; Q(s,a) = 96.03357779470964; reward = -491.0; and epsilon = 0.7706666666666666, win percentage = 0.0, 2022-04-19 15:46:36
Episode no = 1730; won: False; Q(s,a) = 100.22599062622128; reward = -473.0; and epsilon = 0.7693333333333333, win percentage = 0.0, 2022-04-19 15:46:53
Episode no = 1740; won: False; Q(s,a) = 97.64986843473672; reward = -487.0; and epsilon = 0.768, win percentage = 0.0, 2022-04-19 15:47:06
Episode no = 1750; won: False; Q(s,a) = 102.39163094729412; reward = -434.0; and epsilon = 0.7666666666666666, win percentage = 0.0, 2022-04-19 15:47:24
Episode no = 1760; won: False; Q(s,a) = 105.4370711051217; reward = -272.0; and epsilon = 0.7653333333333333, win percentage = 0.0, 2022-04-19 15:47:47
Episode no = 1770; won: False; Q(s,a) = 87.92643510828627; reward = -420.0; and epsilon = 0.764, win percentage = 0.0, 2022-04-19 15:48:01
Episode no = 1780; won: False; Q(s,a) = 133.7925431540598; reward = -460.0; and epsilon = 0.7626666666666666, win percentage = 0.0, 2022-04-19 15:48:17
Episode no = 1790; won: False; Q(s,a) = 102.04006543572551; reward = -453.0; and epsilon = 0.7613333333333333, win percentage = 0.0, 2022-04-19 15:48:42
Episode no = 1800; won: False; Q(s,a) = 101.11643341730344; reward = -431.0; and epsilon = 0.76, win percentage = 0.0, 2022-04-19 15:49:05
Episode no = 1810; won: False; Q(s,a) = 99.52140460412389; reward = -454.0; and epsilon = 0.7586666666666666, win percentage = 0.0, 2022-04-19 15:49:20
Episode no = 1820; won: False; Q(s,a) = 91.74641080101006; reward = -403.0; and epsilon = 0.7573333333333333, win percentage = 0.0, 2022-04-19 15:49:33
Episode no = 1830; won: False; Q(s,a) = 105.18024442457082; reward = -190.0; and epsilon = 0.756, win percentage = 0.0, 2022-04-19 15:50:07
Episode no = 1840; won: False; Q(s,a) = 107.25748023895419; reward = -394.0; and epsilon = 0.7546666666666667, win percentage = 0.0, 2022-04-19 15:50:25
Episode no = 1850; won: False; Q(s,a) = 105.7797155655127; reward = -451.0; and epsilon = 0.7533333333333333, win percentage = 0.0, 2022-04-19 15:50:36
Episode no = 1860; won: False; Q(s,a) = 106.45392190650188; reward = -392.0; and epsilon = 0.752, win percentage = 0.0, 2022-04-19 15:50:52
